architecture,alpha,train_seed,neighbor_mode,update,mean_success,mean_completion,mean_steps,mean_return,policy_loss,value_loss,entropy
shared,0.25,2,visible,3,0.5,0.8333333333333333,64.0,7.4100000000000525,-0.005668392303043075,0.1185937259422714,1.600210506874382
shared,0.25,2,visible,4,0.5,0.875,76.0,7.252500000000084,-0.0037039143297291537,0.11053680897386892,1.5979772354244801
shared,0.25,2,visible,5,0.5,0.9166666666666667,72.25,8.040000000000088,-0.003741093138687902,0.11044398167081705,1.596715856545957
shared,0.25,2,visible,6,0.5,0.875,76.0,7.2525000000000475,-0.00520464187035005,0.09593455771845327,1.5943160527506455
shared,0.25,2,visible,7,0.5,0.875,84.5,6.742500000000094,-0.004777616506826132,0.0601992551347813,1.5919108175531014
shared,0.25,2,visible,8,0.5,0.875,82.0,6.892500000000101,-0.0043794994734634085,0.0590709744716397,1.5880809667881046
shared,0.25,2,visible,9,0.25,0.8333333333333334,85.25,6.1350000000000975,-0.004069693504947613,0.09560848863580587,1.5838649686726842
shared,0.25,2,visible,10,0.25,0.7916666666666667,92.0,5.167500000000098,-0.0035359570158429382,0.08258238228735824,1.5778618424806685
shared,0.25,2,visible,11,0.5,0.7916666666666667,81.5,5.797500000000064,-0.005901286977563025,0.0638274263013175,1.5677654950929012
shared,0.25,2,visible,12,0.75,0.9583333333333334,69.25,8.782500000000088,-0.00669366106307322,0.06740667525913187,1.563273943852981
shared,0.25,2,visible,13,0.25,0.7916666666666666,95.0,4.987500000000116,-0.0070153348188495826,0.05227144151994025,1.56176524878285
shared,0.25,2,visible,14,0.75,0.9583333333333334,70.25,8.722500000000084,-0.005272568296040331,0.07909683633119036,1.5623358848695965
shared,0.25,2,visible,15,0.5,0.9166666666666667,79.0,7.635000000000094,-0.00686889839215145,0.07746858188837814,1.5623629805973633
shared,0.25,2,visible,16,0.5,0.9166666666666667,65.5,8.445000000000078,-0.009578114434615079,0.08327289010746061,1.568826906582582
shared,0.25,2,visible,17,1.0,1.0,29.25,11.74500000000003,-0.009770518409854765,0.13489431367160729,1.5496601352679498
shared,0.25,2,visible,18,1.0,1.0,30.25,11.685000000000032,-0.014385356033609574,0.1604942239243759,1.5383382639119232
shared,0.25,2,visible,19,1.0,1.0,41.5,11.010000000000051,-0.009349091713730974,0.10306011538045379,1.5409127811680832
shared,0.25,2,visible,20,1.0,1.0,24.5,12.030000000000026,-0.02326872046299917,0.12524103684140472,1.5097020980129248
shared,0.25,2,visible,21,1.0,1.0,17.0,12.48000000000002,-0.020581157355162097,0.16017779027943682,1.458528942331987
shared,0.25,2,visible,22,0.75,0.9583333333333334,46.5,10.147500000000058,-0.00810910453627967,0.09848561785309319,1.4809968266761906
shared,0.25,2,visible,23,0.75,0.9583333333333334,40.75,10.49250000000005,-0.014849508708402388,0.13996691309632475,1.4859532943335565
shared,0.25,2,visible,24,1.0,1.0,42.5,10.950000000000053,-0.008689956518029856,0.10147301329630903,1.483501207457216
shared,0.25,2,visible,25,1.0,1.0,22.5,12.150000000000025,-0.016847632176219235,0.18341888030818515,1.4512079084287557
shared,0.25,2,visible,26,1.0,1.0,22.25,12.165000000000026,-0.02248966939546141,0.13247148489771665,1.4130851267795086
shared,0.25,2,visible,27,1.0,1.0,16.5,12.510000000000018,-0.01392917583233517,0.16747811691681258,1.3981830821600323
shared,0.25,2,visible,28,1.0,1.0,32.25,11.565000000000039,-0.009923031883548665,0.11385122452956177,1.4147249364950902
shared,0.25,2,visible,29,1.0,1.0,11.0,12.84000000000001,-0.03493235746210881,0.2475109854558198,1.2926466938136163
shared,0.25,2,visible,30,1.0,1.0,21.25,12.225000000000025,-0.014585252100391383,0.22830382135677463,1.3782502328128412
